Date,Open,High,Low,Close,Volume,Adj Close
2017-03-21,146.75,147.699997,142.100006,142.419998,7632600,142.419998
2017-03-20,145.449997,146.25,144.580002,145.830002,3342000,145.830002
2017-03-17,144.050003,145.759995,143.399994,145.110001,6213400,145.110001
2017-03-16,145.50,146.50,144.220001,144.389999,5243800,144.389999
2017-03-15,144.199997,145.520004,143.229996,145.25,5979400,145.25
2017-03-14,142.949997,143.309998,141.699997,143.190002,4653100,143.190002
2017-03-13,140.899994,143.710007,140.320007,143.520004,4913000,143.520004
2017-03-10,141.389999,141.800003,140.279999,140.889999,3313100,140.889999
2017-03-09,140.039993,141.240005,139.740005,140.529999,2644500,140.529999
2017-03-08,141.470001,142.059998,139.770004,140.320007,4085500,140.320007
2017-03-07,141.990005,142.399994,140.380005,141.429993,4180200,141.429993
2017-03-06,141.00,142.839996,140.539993,141.940002,7107300,141.940002
2017-03-03,139.690002,140.910004,138.259995,139.139999,5399800,139.139999
2017-03-02,142.149994,142.699997,139.089996,139.529999,6110700,139.529999
2017-03-01,142.839996,143.259995,142.100006,142.649994,4156800,142.649994
2017-02-28,143.300003,143.570007,141.850006,142.130005,3823900,142.130005
2017-02-27,143.119995,143.919998,142.380005,143.410004,3902500,143.410004
2017-02-24,141.880005,143.559998,141.550003,143.25,3288600,143.25
2017-02-23,144.449997,144.490005,141.520004,142.779999,4657000,142.779999
2017-02-22,142.919998,144.00,142.169998,143.860001,3463000,143.860001
