Date,Open,High,Low,Close,Volume,Adj Close
2017-03-21,45.310001,45.400002,44.709999,44.84,21822000,44.84
2017-03-20,45.669998,45.950001,45.16,45.23,20664000,45.23
2017-03-17,45.25,45.98,45.110001,45.66,31483600,45.66
2017-03-16,46.389999,46.990002,45.650002,45.73,67008900,45.73
2017-03-15,42.900002,43.200001,42.639999,43.049999,16435000,43.049999
2017-03-14,42.580002,42.84,42.41,42.790001,10261200,42.790001
2017-03-13,42.75,42.779999,42.529999,42.580002,11162900,42.580002
2017-03-10,42.619999,42.689999,42.349998,42.68,11926200,42.68
2017-03-09,42.630001,42.630001,42.25,42.439999,10306500,42.439999
2017-03-08,42.68,42.790001,42.509998,42.610001,8978100,42.610001
2017-03-07,42.580002,42.75,42.52,42.599998,9397400,42.599998
2017-03-06,42.459999,42.740002,42.299999,42.57,9180400,42.57
2017-03-03,42.77,42.889999,42.59,42.689999,8917100,42.689999
2017-03-02,42.830002,42.93,42.630001,42.889999,9418200,42.889999
2017-03-01,42.75,43.00,42.689999,42.919998,11391100,42.919998
2017-02-28,42.619999,42.75,42.419998,42.59,14427400,42.59
2017-02-27,43.259998,43.259998,42.52,42.700001,13843900,42.700001
2017-02-24,42.740002,43.189999,42.68,43.169998,11384000,43.169998
2017-02-23,42.560001,42.990002,42.50,42.959999,15373300,42.959999
2017-02-22,42.259998,42.52,42.130001,42.509998,11594400,42.509998
