Date,Open,High,Low,Close,Volume,Adj Close
2017-03-21,15.08,15.10,14.50,14.54,19047000,14.54
2017-03-20,15.11,15.11,14.82,15.09,12454200,15.09
2017-03-17,15.20,15.23,15.03,15.08,10876600,15.08
2017-03-16,15.08,15.28,15.04,15.19,11588600,15.19
2017-03-15,15.25,15.30,14.85,15.03,19317400,15.03
2017-03-14,15.20,15.58,15.15,15.32,14946800,15.32
2017-03-13,15.10,15.27,15.10,15.21,8701500,15.21
2017-03-10,15.23,15.27,14.94,15.12,13512100,15.12
2017-03-09,15.24,15.39,15.03,15.22,10920500,15.22
2017-03-08,15.19,15.36,15.08,15.24,12556400,15.24
2017-03-07,15.52,15.73,15.16,15.18,16578000,15.18
2017-03-06,15.75,15.78,15.50,15.56,11435400,15.56
2017-03-03,15.84,16.10,15.68,15.75,15157500,15.75
2017-03-02,15.77,16.00,15.72,15.79,12323000,15.79
2017-03-01,15.87,15.90,15.59,15.79,18127700,15.79
2017-02-28,16.00,16.040001,15.74,15.77,10804900,15.77
2017-02-27,15.93,16.129999,15.72,16.059999,13624900,16.059999
2017-02-24,15.95,15.99,15.85,15.98,9123600,15.98
2017-02-23,16.120001,16.27,15.90,16.030001,15274000,16.030001
2017-02-22,16.40,16.51,16.01,16.08,13537500,16.08
